round,pickRound,pickNumber,PickValue,MlbRank,SigningBonus,MlbID,PlayerFirst,PlayerLast,UseName,MiddleName,BirthDate,PrimaryPosition,HomeCity,HomeState,HomeCountry,BirthCity,BirthState,BirthCountry,SchoolName,SchoolClass,SchoolCountry,SchoolState,Height,Weight,BatSide,PitchSide,DraftedTeam,MlbVideo,MlbBlurb
1,11,11,"$4,547,500.00",11,$0.00,666201,Alek,Manoah,Alek,Isaac,1998-01-09,P,MIAMI,Florida,USA,Homestead,FL,USA,West Virginia,4YR JR,USA,WV,78,260,R,R,Toronto Blue Jays,https://atmlb.com/2X1cWIg,"Manoah was a two-way player out of high school in the Miami area in 2016, but went undrafted and headed to West Virginia. The big right-hander worked more out of the bullpen than in the rotation over his first two seasons, but opened a lot of eyes as a starter in the Cape Cod League, leading the league in strikeouts. He's been that pitcher ever since, moving his way to close to the top of college arm options in this year's Draft. A physical beast at 6-foot-6, 260-pounds, Manoah has always shown glimpses of solid power stuff, but without consistency or command of it. That's changed this spring as he has shown above-average control for most of his junior season. He's pitched with a fastball typically in the 94-97 mph range, missing a ton of bats thanks to good sink. His slider flashes plus at times and has been a more reliable weapon for him. He has a solid changeup, relying on it in the Cape Cod championship game, but he hasn't used it as much this spring. Manoah has managed to keep his large frame in sync and has repeated his delivery in order to fill up the strike zone more effectively. Given that he doesn't have that many starts on his resume, he's a rare college pitcher with projection, something that should get him off the board in the first round, much earlier than his older brother Erik, currently a reliever in the Angels system, who was drafted by the Mets in the 13th round of the 2014 Draft."
1,12,12,"$4,366,400.00",17,$0.00,683146,Brett,Baty,Brett,Austin,1999-11-13,3B,SPICEWOOD,Texas,USA,Round Rock,TX,USA,Lake Travis HS,HS SR,USA,TX,75,210,L,R,New York Mets,https://atmlb.com/2JxRVlp,"Baty has several parallels to Josh Jung, a fellow Texas prep product who's now a third baseman at Texas Tech and expected to be one of the first college players selected in June. They're built similarly, they rank among the best all-around hitters in their respective high school and college classes and they still have to convince evaluators that they can stick at the hot corner. Baty may have passed Jung with a more impressive spring and his bat could land him in the middle of the first round. Baty possesses some of the best raw power in the 2019 Draft, the product of bat speed, strength and loft in his left-handed swing. He's also more of an advanced hitter than just a pure masher. A Texas recruit who would be eligible for the 2021 Draft as a sophomore, he makes repeated hard contact, isn't fooled by breaking pitches and doesn't get caught selling out for power. Though he clocks below-average running times, Baty is a better athlete than his lack of speed might indicate. He played basketball at Lake Travis High (Austin) and could remain a third baseman if he improves his agility and maintains the conditioning on his big frame. There's no question about his arm because he has registered fastballs up to 92 mph off the mound."
1,13,13,"$4,197,300.00",28,$0.00,686577,Keoni,Cavaco,Keoni,Kealakekua,2001-06-02,SS,CHULA VISTA,California,USA,Chula Vista,CA,USA,Eastlake HS,HS SR,USA,CA,74,195,R,R,Minnesota Twins,https://atmlb.com/2HRkfM7,"Eastlake High School in Chula Vista, Calif., hasn't had a player taken in the top few rounds since Adrian Gonzalez was the somewhat surprising No. 1 overall pick of the Marlins back in 2000. Thanks to a breakout fall and a consistently solid spring, Cavaco has popped up to be the next from Eastlake to likely go in the early stages of the Draft. Cavaco first started getting attention for his complete tools package at the Angel Elite showcase in the fall, where his tremendous raw power particularly stood out. The only question about his offensive profile is how consistently he'll hit to get to that power, as there is some swing and miss to his game. Beyond the bat, Cavaco will show flashes of plus tools across the board. He's clocked sub four-second times home to first out of the box and he has the chance to be a plus defender at third, with very good hands, footwork, a plus arm and a willingness to stick his nose in the dirt. The industry was sleeping on Cavaco, who wasn't invited to most of the summer showcase circuit events, so there is a lack of track record and the infielder hasn't been challenged against tough competition like some have. But scouts are awake now, pouring in to see this pop-up prospect, one who is now likely to go early enough to forego his commitment to San Diego State."
1,14,14,"$4,036,800.00",9,$0.00,681082,Bryson,Stott,Bryson,Jeremy,1997-10-06,SS,LAS VEGAS,Nevada,USA,Las Vegas,NV,USA,UNLV,4YR JR,USA,NV,75,200,L,R,Philadelphia Phillies,https://atmlb.com/2YJXEIp,"College shortstops with solid all-around tools aren't always easy to find in any Draft class. That's why Stott, who looks and plays a lot like Giants shortstop Brandon Crawford, was high on lists entering this spring. The UNLV product has continued to perform as a junior, cementing his status as a potential top 10 pick. Nearly all of Stott's tools grade out as at least above-average. He has the chance to be a plus hitter, with very advanced bat to ball skills. He's never overmatched and always seems comfortable in the box, handling good velocity and offspeed stuff equally well, while walking more than he's struck out in his college career. Even when he's off-balance, he keeps his hands back and shoots the ball the other way to left field. And while he'll never sell out his hit tool for power, he'll show pop in batting practice and it's easy to dream on 15-18 homers annually at the next level. While Stott does show off a plus arm at times, the one area there's a split camp might be his ability to play shortstop in the big leagues. Most give him a chance to stick there, given his makeup and instincts, unless the team he's on has a better defender on the roster. At the very least, he'll be given the opportunity to do so after hearing his name called in the first round."
1,15,15,"$3,885,800.00",21,$0.00,669717,William,Wilson,Will,Bradley,1998-07-21,SS,KINGS MOUNTAIN,North Carolina,USA,Kings Mountain,NC,USA,North Carolina State,4YR JR,USA,NC,72,184,R,R,Los Angeles Angels,https://atmlb.com/2HP4xRV,"For the second time in five years, North Carolina State could have a shortstop selected in the first round. Wilson isn't as tooled up as Trea Turner or the other top shortstops in a deep college crop, but he has a high floor as a steady up-the-middle defender with surprising power. He was one of four players to hit 10 or more homers in Atlantic Coast Conference games in 2018, joining Giants No. 2 overall pick Joey Bart, Astros first-rounder Seth Beer and Blue Jays second-rounder Griffin Conine. Though he's not physically imposing, Wilson has quick hands and deceptive strength that give him at least above-average raw power. A right-handed hitter, he has a knack for putting the barrel on the ball. He shows the ability to hit for average and power, and he has done a better job of drawing walks this spring despite his aggressive approach. The biggest knock on Wilson is his below-average speed. Most big league shortstops run better than that, though some scouts think he can stay at the position because he has quick actions and hands. Others believe his speed and average arm will land him at second base, where he played as a freshman and still would profile well offensively."
1,16,16,"$3,745,500.00",15,$0.00,682998,Corbin,Carroll,Corbin,Franklin,2000-08-21,CF,SEATTLE,Washington,USA,Seattle,WA,USA,Lakeside HS,HS SR,USA,WA,70,165,L,L,Arizona Diamondbacks,https://atmlb.com/2HHNQrq,"At first glance, Carroll might not jump off the page as a Draft prospect, given his 5-foot-10 frame. That perception changes once you see the Pacific Northwest high schooler play. Carroll hit at pretty much every stop on the summer showcase circuit last year, establishing himself as one of the top prep bats in the country. He's done nothing to diminish those evaluations this spring. Carroll has one of the best overall approaches in the Draft, especially among high school hitters. He can spray the ball to all fields from the left side of the plate, but as he did most noticeably during his Perfect Game All-American Classic MVP performance, he can drive the ball with line-drive loft and surprising pop. His outstanding speed helps him on both sides of the ball, with the ability to steal bases and play an outstanding defensive center field. The UCLA commit has drawn comparisons to hitters like Jacoby Ellsbury and Andrew Benintendi, slightly undersized left-handed hitters who grew into their power at the next level. Carroll could follow in that path and while that pair ended up being first-round picks out of college, Carroll should be an early selection out of high school."
1,17,17,"$3,609,700.00",12,$0.00,671131,Jackson,Rutledge,Jackson,Christian,1999-04-01,P,FENTON,Missouri,USA,Springdale,MO,USA,San Jacinto College North,JC J2,USA,TX,80,250,R,R,Washington Nationals,https://atmlb.com/2WjHQ1o,"Rutledge has emerged as the best junior college prospect since Bryce Harper went No. 1 overall out of Southern Nevada in 2010 and the best in Texas since Clay Buchholz was a supplemental first-rounder from Angelina in 2005. He intrigued scouts enough to go in the first five rounds as a Missouri high schooler in 2017, but his strong commitment to Arkansas left him undrafted. He pitched just 15 2/3 innings as a freshman for the Razorbacks and was left off their postseason roster, prompting his decision to transfer to San Jacinto. Rutledge pitches at 94-97 mph and reaches 99 with his fastball, showing the ability to carry premium velocity into the late innings. While his heater has riding life at the top of the strike zone and sink toward the bottom, its movement isn't as consistent as its velocity. His upper-80s slider can be a wipeout pitch with depth and his low-80s curveball can be a plus offering with 12-6 break when at their best, though they aren't always reliable weapons and can play closer to average. With his huge 6-foot-8 frame, Rutledge creates difficult angle on his pitches that make them even harder to hit. His biggest needs are to improve a changeup that can get too firm and flat, and to refine his control and command. He has an unusually short arm action for such a big pitcher, though it doesn't compromise what could be the best all-around stuff in the 2019 Draft."
1,18,18,"$3,481,300.00",19,$0.00,682990,Charles,Priester,Quinn,Quinn,2000-09-15,P,CRYSTAL LAKE,Illinois,USA,Glendale Heights,IL,USA,Cary-Grove HS,HS SR,USA,IL,75,195,R,R,Pittsburgh Pirates,https://atmlb.com/2WZchXR,"Priester has a chance to become the first Illinois high school pitcher taken in the first round since the Astros drafted Mike Foltynewicz 19th overall in 2010. He bounced back from forearm tendinitis as a junior to excel on the showcase circuit last summer, and his stock has continued to rise this spring. He also starred as a wide receiver and defensive back for Cary-Grove's Illinois 6-A state champion football team, catching a touchdown pass in the final playoff game. Scouts love Priester's athleticism and the ease of his arm action. His four-seam fastball can reach 97 mph with riding life, though his heavy two-seamer in the low 90s may be even more effective because it gets exceptional horizontal and vertical movement. He also owns one of the better curveballs in the 2019 prep class, sitting around 80 mph with tight spin and good depth. Priester hasn't had much need for a changeup to this point and will need to achieve greater velocity separation from his fastball, but his athleticism and intelligence should help him develop it into an effective third pitch. Those traits also help the Texas Christian recruit fill the strike zone and understand how to attack hitters. His 6-foot-3 build has the strength for durability as well as some projection remaining."
1,19,19,"$3,359,000.00",14,$0.00,668868,Zachary,Thompson,Zack,David,1997-10-28,P,LEXINGTON,Kentucky,USA,Anderson,IN,USA,Kentucky,4YR JR,USA,KY,74,225,L,L,St. Louis Cardinals,https://atmlb.com/2M0qums,"Thompson was as talented as any high school left-hander in the Midwest in 2016, which could have landed him in the top five rounds, but concerns about his shoulder and his commitment to Kentucky caused the Indiana prepster to slide to the Rays in the 11th. He still would have landed a well over-slot bonus from Tampa Bay if he hadn't failed a post-Draft physical, and more medical questions arose when he missed two months as a sophomore with an elbow injury that didn't require surgery. He has stayed healthy and done a much better job of throwing strikes in 2019, putting himself in position to be one of the first pitchers drafted. As a southpaw with a strong frame and four pitches, Thompson has the ingredients to become a mid-rotation starter. Both his fastball, which sits in the low 90s and tops out at 96 mph with some run and angle, and his low-80s slider are plus pitches at their best. He generates good spin rates on both his slider and curveball, which has more depth than power, and also mixes in a decent changeup. Though some clubs still have concerns about Thompson's health history, he has helped his cause by not missing a start and working deeper into games this spring. His high-three-quarters delivery is relatively clean, and he's finally pounding the strike zone after battling it in his first two college seasons. He has a good chance to surpass Alex Meyer (No. 23 overall, 2011) for the distinction of being the highest-drafted pitcher ever from the Wildcats program."
1,20,20,"$3,242,900.00",18,$0.00,669923,George,Kirby,George,Joseph,1998-02-04,P,RYE,New York,USA,Rye,NY,USA,Elon University,4YR JR,USA,NC,76,201,R,R,Seattle Mariners,https://atmlb.com/2JVW95D,"Kyle Brnovich challenged for the NCAA Division I strikeout crown and pitched for the U.S. collegiate national team in 2018, but he's not the Elon right-hander who has a chance to become the first first-rounder in the program's history. That distinction belongs to Kirby, who capped a breakout sophomore year by posting a 24-1 K-BB ratio in 13 innings as a Cape Cod League reliever. He has followed up by leading D-I in strikeout-to-walk ratio for much of his junior season. Kirby has four potential quality pitches to make it as a starter, beginning with a running fastball that sits in the low 90s, reaches 98 mph and should add more velocity as he gets stronger. He has feel for spinning the ball and both his curveball and slider show flashes of becoming plus offerings. He also has some aptitude for throwing a changeup with some sink. Kirby has so much success with his fastball that he hasn't relied as much on his secondary pitches, which still need more consistency. He doesn't have any problems throwing strikes but will have to refine his command. He has a sound delivery and arm action, so it's easy to project him as a possible No. 3 starter."
1,21,21,"$3,132,300.00",32,$0.00,669699,Braden,Shewmake,Braden,Jack,1997-11-19,SS,New York,New York,USA,Wylie,TX,USA,Texas A&M,4YR JR,USA,TX,76,190,L,R,Atlanta Braves,https://atmlb.com/2VXzmhc,"Shewmake drew some mild scouting interest as a senior at Wylie (Texas) East High in 2016, but not enough to divert him from attending Texas A&M. He won Southeastern Conference Freshman of the Year honors and helped the Aggies reach the College World Series in 2017, then shifted to shortstop as a sophomore. Of the half-dozen college players at that position who have legitimate first-round aspirations in 2019, he might be the best pure hitter. His outstanding hand-eye coordination allows Shewmake to put the bat on the ball with ease. A left-handed hitter who's a bit unorthodox at the plate, he tends to get caught out on his front foot but still has the dexterity to slap singles to the opposite field. He also has the bat speed and leverage in his still-projectable 6-foot-4 frame to turn on balls, hinting at average power in his future. Shewmake grew up around the game because his father Shane is the head coach at Texas-Dallas, and his instincts are apparent on the bases and in the field. He has a knack for stealing bases despite average speed and makes plays at shortstop. His arm is more accurate than strong, leading some scouts to project him as a second baseman, and he has the versatility and selflessness to fit anywhere in the infield."
1,22,22,"$3,027,000.00",48,$0.00,675659,Gregory,Jones,Greg,,1998-03-07,SS,Cary,North Carolina,USA,Cary,NC,USA,UNC Wilmington,4YR SO,USA,NC,74,175,S,R,Tampa Bay Rays,https://atmlb.com/2wcA4rv,"Jones might have gone in the first two rounds of the 2017 Draft had he been signable away from a UNC Wilmington commitment, and he should go in the same area this June as the best sophomore-eligible prospect at a four-year college. He's the fastest premium prospect in the college ranks and has the tools and upside to become the first Seahawk ever selected in the first round. To go that high, he'll have to answer questions about his instincts and effort that date back to high school. Jones has true top-of-the-scale speed and basestealing acumen. He creates havoc when he gets on base and is doing a better job of doing so in 2019, making more consistent contact while posting one of the higher walk rates in NCAA Division I. A switch-hitter with some bat speed and strength, he shows average raw power from both sides of the plate during batting practice but has yet to translate it into home run production. Though Jones has solid arm strength to go with his blazing speed, there's skepticism about his ability to remain at shortstop. He doesn't react as quickly as expected at short and doesn't throw well from different angles. Many scouts project him to wind up in center field, where his tools would fit well."
1,23,23,"$2,926,800.00",40,$0.00,669911,Michael,Toglia,Michael,Anthony,1998-08-16,1B,GIG HARBOR,Washington,USA,Phoenix,AZ,USA,UCLA,4YR JR,USA,CA,77,226,S,L,Colorado Rockies,https://atmlb.com/2VZrjjN,"Talented and a bit raw out of the Pacific Northwest high school ranks in 2016, Toglia was taken in the 35th round by the Rockies, but he went on to UCLA. Good success in two years of starting with the Bruins had him poised to be one of the better college bats to be considered in June and while a slow start to his junior season impacted his stock, he was getting hot as the spring wore on. Toglia is a solid athlete, especially given his 6-foot-5 frame that he's still growing into. And as a kid from the Northwest, he's still growing into the game. He's shown huge raw power from both sides of the plate, with some scouts putting a 70 on his raw power, but there are some questions about his ability to make enough contact to tap into it consistently. He wasn't comfortable in the box at the start of the season, but the streaky hitter was starting to put it together. Athletic enough to handle an outfield corner, he's a plus defender at first who can save runs at the infield corner. Just 20 when the Draft rolls around, he's one of the youngest college juniors in the country, He's a rare college bat with projection, one who could be a run producer in the future if he can refine his approach."
1,24,24,"$2,831,300.00",23,$0.00,682982,Daniel,Espino,Daniel,Andres,2001-01-05,P,STATESBORO,Georgia,USA,Panama City,,Panama,Georgia Premier Academy,HS SR,USA,GA,74,205,R,R,Cleveland Indians,https://atmlb.com/2WZKmqK,"Born in Panama, Espino moved to the United States for his sophomore year of high school in 2016. Since arriving with a mid-80s fastball, he has developed into the hardest thrower in the '19 prep class. He repeatedly reached the upper 90s on the showcase circuit last summer and broke Hunter Greene's Under Armour All-America Game record with a fastball clocked at 99 mph. Espino usually works at 94-97 mph and has reached triple digits with his fastball. He can overpower hitters with sheer velocity, gets good riding action on his four-seamer and can show heavy sink on a two-seamer. Opponents can't afford to sit on his heater because he has a pair of power breaking pitches, with his sharp low-80s slider currently grading better than his upper-70s curveball with good depth. Espino dabbles with a changeup that gets too firm but flashes good sink at times. The Louisiana State recruit's control and command are inconsistent, in part because he has a long arm action, so some scouts project him more as a reliever than as a starter. There's not a lot of projection remaining in his frame, which is smaller than his listed height and weight, but his present stuff already is plenty good."
